tissue,sample_id,signature,n_genes_used,signature_score
Heart - Atrial Appendage,GTEX-1117F-0726-SM-5GIEN,MitoAll,1101,0.17335088014873223
Heart - Atrial Appendage,GTEX-1117F-0726-SM-5GIEN,MitoOnly,518,0.17487555369568025
Heart - Atrial Appendage,GTEX-111FC-0626-SM-5N9CU,MitoAll,1101,0.8031273071219619
Heart - Atrial Appendage,GTEX-111FC-0626-SM-5N9CU,MitoOnly,518,0.8641281342828087
Heart - Atrial Appendage,GTEX-111VG-0326-SM-5GZX7,MitoAll,1101,-0.11118430718485067
Heart - Atrial Appendage,GTEX-111VG-0326-SM-5GZX7,MitoOnly,518,-0.0844375476876952
Heart - Atrial Appendage,GTEX-111YS-0326-SM-5GZZ3,MitoAll,1101,0.22296722885189435
Heart - Atrial Appendage,GTEX-111YS-0326-SM-5GZZ3,MitoOnly,518,0.21639901549290924
Heart - Atrial Appendage,GTEX-1122O-0626-SM-5N9B9,MitoAll,1101,0.5539396335943568
Heart - Atrial Appendage,GTEX-1122O-0626-SM-5N9B9,MitoOnly,518,0.5823625107184393
Heart - Atrial Appendage,GTEX-117XS-0726-SM-5H131,MitoAll,1101,-0.02320989935302023
Heart - Atrial Appendage,GTEX-117XS-0726-SM-5H131,MitoOnly,518,0.001815060614241762
Heart - Atrial Appendage,GTEX-117YW-0426-SM-5GZZZ,MitoAll,1101,-1.600216581442424
Heart - Atrial Appendage,GTEX-117YW-0426-SM-5GZZZ,MitoOnly,518,-1.608718362031835
Heart - Atrial Appendage,GTEX-117YX-0626-SM-5EGJI,MitoAll,1101,0.3705048062976951
Heart - Atrial Appendage,GTEX-117YX-0626-SM-5EGJI,MitoOnly,518,0.39621368024533254
Heart - Atrial Appendage,GTEX-1192W-0226-SM-5EGGT,MitoAll,1101,0.11475521658708955
Heart - Atrial Appendage,GTEX-1192W-0226-SM-5EGGT,MitoOnly,518,0.15170837828015848
Heart - Atrial Appendage,GTEX-1192X-0726-SM-5987R,MitoAll,1101,-0.026825367971135838
Heart - Atrial Appendage,GTEX-1192X-0726-SM-5987R,MitoOnly,518,-0.012257690985416122
Heart - Atrial Appendage,GTEX-11DXX-0526-SM-5PNVR,MitoAll,1101,0.20665170154348123
Heart - Atrial Appendage,GTEX-11DXX-0526-SM-5PNVR,MitoOnly,518,0.239819736072458
Heart - Atrial Appendage,GTEX-11DXY-1026-SM-5987V,MitoAll,1101,-0.4327840620148285
Heart - Atrial Appendage,GTEX-11DXY-1026-SM-5987V,MitoOnly,518,-0.4084532715518546
Heart - Atrial Appendage,GTEX-11DXZ-0326-SM-5EGH1,MitoAll,1101,0.2336572101044214
Heart - Atrial Appendage,GTEX-11DXZ-0326-SM-5EGH1,MitoOnly,518,0.28318048605185697
Heart - Atrial Appendage,GTEX-11DYG-1026-SM-5A5JQ,MitoAll,1101,0.6385371518109785
Heart - Atrial Appendage,GTEX-11DYG-1026-SM-5A5JQ,MitoOnly,518,0.7163534708157056
Heart - Atrial Appendage,GTEX-11EM3-0426-SM-5N9BZ,MitoAll,1101,0.42479729305955133
Heart - Atrial Appendage,GTEX-11EM3-0426-SM-5N9BZ,MitoOnly,518,0.4734692706222548
Heart - Atrial Appendage,GTEX-11EMC-0826-SM-59862,MitoAll,1101,-0.0015772345852854888
Heart - Atrial Appendage,GTEX-11EMC-0826-SM-59862,MitoOnly,518,0.03742097618146174
Heart - Atrial Appendage,GTEX-11EQ8-1326-SM-5EGJQ,MitoAll,1101,0.027877146920447692
Heart - Atrial Appendage,GTEX-11EQ8-1326-SM-5EGJQ,MitoOnly,518,0.04224954566046441
Heart - Atrial Appendage,GTEX-11GS4-0426-SM-5N9CD,MitoAll,1101,-0.161359472517939
Heart - Atrial Appendage,GTEX-11GS4-0426-SM-5N9CD,MitoOnly,518,-0.1489622802285025
Heart - Atrial Appendage,GTEX-11GSP-1226-SM-5985M,MitoAll,1101,0.15358975310654363
Heart - Atrial Appendage,GTEX-11GSP-1226-SM-5985M,MitoOnly,518,0.18876387021433058
Heart - Atrial Appendage,GTEX-11LCK-0826-SM-5PNYD,MitoAll,1101,0.21728181592045542
Heart - Atrial Appendage,GTEX-11LCK-0826-SM-5PNYD,MitoOnly,518,0.2516769628721122
Heart - Atrial Appendage,GTEX-11NUK-0926-SM-5HL57,MitoAll,1101,0.29269736636142507
Heart - Atrial Appendage,GTEX-11NUK-0926-SM-5HL57,MitoOnly,518,0.3255674207960389
Heart - Atrial Appendage,GTEX-11NV4-0826-SM-5BC4S,MitoAll,1101,0.5489979264777642
Heart - Atrial Appendage,GTEX-11NV4-0826-SM-5BC4S,MitoOnly,518,0.5963551767169688
Heart - Atrial Appendage,GTEX-11O72-1026-SM-5986B,MitoAll,1101,0.00782077651325642
Heart - Atrial Appendage,GTEX-11O72-1026-SM-5986B,MitoOnly,518,0.027643321769014986
Heart - Atrial Appendage,GTEX-11ONC-1026-SM-5GU64,MitoAll,1101,-0.08566619501634343
Heart - Atrial Appendage,GTEX-11ONC-1026-SM-5GU64,MitoOnly,518,-0.06729257956071749
Heart - Atrial Appendage,GTEX-11P81-0526-SM-59873,MitoAll,1101,-0.045504797595935294
Heart - Atrial Appendage,GTEX-11P81-0526-SM-59873,MitoOnly,518,-0.0033484781142163857
Heart - Atrial Appendage,GTEX-11TT1-1426-SM-5EGIA,MitoAll,1101,0.5466137200302544
Heart - Atrial Appendage,GTEX-11TT1-1426-SM-5EGIA,MitoOnly,518,0.5605110670465395
Heart - Atrial Appendage,GTEX-11TUW-1126-SM-5EQKJ,MitoAll,1101,-0.03816298648090508
Heart - Atrial Appendage,GTEX-11TUW-1126-SM-5EQKJ,MitoOnly,518,-0.06525549616673315
Heart - Atrial Appendage,GTEX-11UD2-0926-SM-5CVL6,MitoAll,1101,-0.03353683651508779
Heart - Atrial Appendage,GTEX-11UD2-0926-SM-5CVL6,MitoOnly,518,-0.017523252185623325
Heart - Atrial Appendage,GTEX-11WQK-0226-SM-5EQLI,MitoAll,1101,0.2629033870892537
Heart - Atrial Appendage,GTEX-11WQK-0226-SM-5EQLI,MitoOnly,518,0.24205350461121644
Heart - Atrial Appendage,GTEX-11ZTT-0526-SM-5EQLA,MitoAll,1101,0.23866029713102926
Heart - Atrial Appendage,GTEX-11ZTT-0526-SM-5EQLA,MitoOnly,518,0.25333428347766673
Heart - Atrial Appendage,GTEX-11ZUS-0326-SM-5EQ4W,MitoAll,1101,0.21868060836862124
Heart - Atrial Appendage,GTEX-11ZUS-0326-SM-5EQ4W,MitoOnly,518,0.2567574015436073
Heart - Atrial Appendage,GTEX-11ZVC-0526-SM-5N9G1,MitoAll,1101,-0.6044281396385615
Heart - Atrial Appendage,GTEX-11ZVC-0526-SM-5N9G1,MitoOnly,518,-0.6293831371404216
Heart - Atrial Appendage,GTEX-1211K-0226-SM-59HJY,MitoAll,1101,0.3608854896346362
Heart - Atrial Appendage,GTEX-1211K-0226-SM-59HJY,MitoOnly,518,0.39249896662708733
Heart - Atrial Appendage,GTEX-1212Z-0726-SM-5EGI5,MitoAll,1101,-0.2670879112182778
Heart - Atrial Appendage,GTEX-1212Z-0726-SM-5EGI5,MitoOnly,518,-0.24253911499042133
Heart - Atrial Appendage,GTEX-12584-1026-SM-59HK3,MitoAll,1101,0.297798376485185
Heart - Atrial Appendage,GTEX-12584-1026-SM-59HK3,MitoOnly,518,0.27999483240011563
Heart - Atrial Appendage,GTEX-12696-1226-SM-5FQSM,MitoAll,1101,0.16802559531211472
Heart - Atrial Appendage,GTEX-12696-1226-SM-5FQSM,MitoOnly,518,0.20524423067837394
Heart - Atrial Appendage,GTEX-12BJ1-0326-SM-5FQUB,MitoAll,1101,-0.15431190186416371
Heart - Atrial Appendage,GTEX-12BJ1-0326-SM-5FQUB,MitoOnly,518,-0.14016379584039168
Heart - Atrial Appendage,GTEX-12WSA-1126-SM-5EGKU,MitoAll,1101,-0.013118072636756
Heart - Atrial Appendage,GTEX-12WSA-1126-SM-5EGKU,MitoOnly,518,-0.011234204762704725
Heart - Atrial Appendage,GTEX-12WSC-1026-SM-5EQ5Y,MitoAll,1101,0.6672871672396236
Heart - Atrial Appendage,GTEX-12WSC-1026-SM-5EQ5Y,MitoOnly,518,0.7185333748597056
Heart - Atrial Appendage,GTEX-12WSD-1226-SM-5HL9Q,MitoAll,1101,0.35991007489163496
Heart - Atrial Appendage,GTEX-12WSD-1226-SM-5HL9Q,MitoOnly,518,0.4211838349402609
Heart - Atrial Appendage,GTEX-12WSE-0926-SM-5S2VX,MitoAll,1101,0.17770038348743925
Heart - Atrial Appendage,GTEX-12WSE-0926-SM-5S2VX,MitoOnly,518,0.21342496774368858
Heart - Atrial Appendage,GTEX-12WSG-1226-SM-5EQ4C,MitoAll,1101,0.3867561491288397
Heart - Atrial Appendage,GTEX-12WSG-1226-SM-5EQ4C,MitoOnly,518,0.4072017124094449
Heart - Atrial Appendage,GTEX-12WSI-0426-SM-5EQ5J,MitoAll,1101,-0.9116586588305301
Heart - Atrial Appendage,GTEX-12WSI-0426-SM-5EQ5J,MitoOnly,518,-0.8704197148687283
Heart - Atrial Appendage,GTEX-12WSK-0526-SM-5CVNA,MitoAll,1101,-0.030097814303344673
